ID,name,power,kill,path
32858679,,37978538,1345170,Screenshot_2020-07-17-19-11-13.png
32886907,,35965119,2487123,Screenshot_2020-07-17-19-11-18.png
32916567,,34725757,3359320,Screenshot_2020-07-17-19-11-23.png
32888148,,31242617,5049266,Screenshot_2020-07-17-19-11-31.png
32860442,,24991749,3029242,Screenshot_2020-07-17-19-11-36.png
44463382,,17089931,263443,Screenshot_2020-07-17-19-11-41.png
32881045,,36155646,1129083,Screenshot_2020-07-17-19-11-55.png
34174033,,30776819,1699633,Screenshot_2020-07-17-19-12-01.png
33691098,,29896868,951542,Screenshot_2020-07-17-19-12-07.png
32951689,,29325602,1729885,Screenshot_2020-07-17-19-12-13.png
32852651,,31160205,746727,Screenshot_2020-07-17-19-12-20.png
32842266,,30002936,191348,Screenshot_2020-07-17-19-12-26.png
34068695,,29335968,384180,Screenshot_2020-07-17-19-12-32.png
35454450,,29031357,173785,Screenshot_2020-07-17-19-12-38.png
34012835,,28739604,430102,Screenshot_2020-07-17-19-12-48.png
32881241,,28376056,1587054,Screenshot_2020-07-17-19-12-54.png
32820259,,28136315,671831,Screenshot_2020-07-17-19-13-01.png
32878345,,27232447,500775,Screenshot_2020-07-17-19-13-07.png
32819484,,28610652,205630,Screenshot_2020-07-17-19-13-13.png
32900080,,28151380,2319706,Screenshot_2020-07-17-19-13-19.png
33334611,,28059700,667261,Screenshot_2020-07-17-19-13-25.png
33898594,,26970059,705707,Screenshot_2020-07-17-19-13-31.png
32910924,,26948511,1510813,Screenshot_2020-07-17-19-13-41.png
33984315,,26111220,671874,Screenshot_2020-07-17-19-13-48.png
34011747,,25820409,218883,Screenshot_2020-07-17-19-13-54.png
32878596,,25516470,347409,Screenshot_2020-07-17-19-14-00.png
32904134,,26262651,2861365,Screenshot_2020-07-17-19-14-06.png
32947520,,26065182,300867,Screenshot_2020-07-17-19-14-12.png
32889863,,25612932,193302,Screenshot_2020-07-17-19-14-19.png
32873041,,25506380,787935,Screenshot_2020-07-17-19-14-24.png
32858701,,25197150,507928,Screenshot_2020-07-17-19-14-35.png
33963794,,24590641,1497071,Screenshot_2020-07-17-19-14-41.png
